ol_mathamatics,ol_science,ol_english,al_stream,interest_type,personal_skill_score,aptitude_test_score,personality_type,career_category,recommended_career_1,recommended_career_2,recommended_career_3
A,B,S,Tech,Investigative,30,95,R,Digital Media & Creative Technology,UI/UX Designer,Multimedia Artist,Game Developer
A,B,S,Tech,Conventional,55,22,I,Technology Business & Startups,Innovation Manager,Startup Founder,Tech Consultant
A,C,C,Mathematics,Investigative,52,55,I,Data Management & Cyber Security,Data Analyst,Network Security Engineer,Cybersecurity Specialist
C,C,A,Tech,Conventional,66,24,R,Technology Business & Startups,Tech Consultant,Product Manager,Startup Founder
C,C,S,Tech,Conventional,100,47,I,IT Support & Training,Helpdesk Technician,IT Support Specialist,Technical Trainer
C,S,B,Arts,Social,59,74,S,Creative & Performing Arts,Fashion Designer,Animator,Musician
B,S,B,Commerce,Social,63,51,E,Business Management & Strategy,Operations Manager,Project Manager,Business Manager
C,B,B,Tech,Investigative,49,12,I,Technology Business & Startups,Startup Founder,Tech Consultant,Product Manager
A,C,S,Mathematics,Realistic,36,23,R,Engineering & Technical Operations,Mechanical Engineer,Civil Engineer,Electrical Engineer
C,C,B,Commerce,Enterprising,40,3,S,Business Management & Strategy,Operations Manager,Project Manager,HR Manager
C,B,S,Biological Science,Investigative,31,81,S,Environmental & Field Science,Marine Biologist,Conservation Officer,Ecologist
B,A,A,Biological Science,Social,19,79,I,Environmental & Field Science,Marine Biologist,Conservation Officer,Wildlife Biologist
B,C,S,Mathematics,Conventional,18,14,I,Engineering & Technical Operations,Robotics Engineer,Electrical Engineer,Industrial Engineer
A,B,S,Mathematics,Conventional,33,60,R,Engineering & Technical Operations,Industrial Engineer,Electrical Engineer,Robotics Engineer
B,B,B,Mathematics,Investigative,37,23,I,Engineering & Technical Operations,Civil Engineer,Mechanical Engineer,Robotics Engineer
C,B,S,Mathematics,Realistic,74,20,R,Software & Systems,Software Developer,Database Administrator,AI/ML Engineer
S,B,B,Commerce,Enterprising,88,23,E,Accounting & Finance,Auditor,Accountant,Financial Analyst
C,B,S,Tech,Realistic,49,85,I,Technology Business & Startups,Innovation Manager,Tech Consultant,Startup Founder
B,C,C,Biological Science,Social,98,11,I,Clinical & Healthcare Services,Nurse,Physician,Occupational Therapist
C,A,C,Tech,Realistic,53,94,R,Technology Business & Startups,Product Manager,Startup Founder,Innovation Manager
B,A,S,Mathematics,Realistic,8,70,R,Engineering & Technical Operations,Industrial Engineer,Electrical Engineer,Robotics Engineer
B,S,S,Arts,Social,79,54,A,Media & Communication,Broadcaster,Content Writer,Public Relations Officer
A,B,A,Tech,Conventional,13,74,I,Digital Media & Creative Technology,Mobile App Developer,Game Developer,Multimedia Artist
A,C,B,Mathematics,Conventional,14,85,I,Engineering & Technical Operations,Industrial Engineer,Civil Engineer,Mechanical Engineer
S,S,A,Arts,Artistic,19,25,S,Education & Social Services,NGO Officer,Librarian,Teacher
B,C,S,Commerce,Social,27,14,E,Marketing & Sales,Sales Manager,Brand Manager,Market Research Analyst
B,A,A,Mathematics,Realistic,63,51,R,Data Management & Cyber Security,Data Analyst,Network Security Engineer,Cybersecurity Specialist
C,C,B,Biological Science,Social,57,18,I,Biomedical & Laboratory Research,Biomedical Scientist,Geneticist,Microbiologist
B,C,S,Arts,Artistic,0,33,S,Education & Social Services,Social Worker,Teacher,NGO Officer
B,B,C,Mathematics,Realistic,83,52,I,Software & Systems,AI/ML Engineer,Software Developer,Web Developer
B,C,A,Tech,Realistic,87,65,I,IT Support & Training,IT Support Specialist,Technical Trainer,Network Administrator
B,C,C,Mathematics,Realistic,0,36,R,Engineering & Technical Operations,Civil Engineer,Robotics Engineer,Industrial Engineer
B,S,A,Arts,Artistic,27,21,A,Education & Social Services,Librarian,Teacher,NGO Officer
B,A,B,Tech,Conventional,60,34,I,Technology Business & Startups,Product Manager,Tech Consultant,Business Analyst (Tech)
B,A,B,Tech,Realistic,39,58,I,Digital Media & Creative Technology,Game Developer,Mobile App Developer,Multimedia Artist
A,C,S,Tech,Realistic,69,88,I,Technology Business & Startups,Startup Founder,Tech Consultant,Business Analyst (Tech)
C,A,B,Mathematics,Investigative,71,45,I,Software & Systems,Web Developer,Systems Analyst,Software Developer
A,A,B,Biological Science,Investigative,14,96,S,Environmental & Field Science,Marine Biologist,Ecologist,Conservation Officer
B,B,B,Commerce,Enterprising,10,82,S,Marketing & Sales,Marketing Executive,Digital Marketer,Brand Manager
C,S,A,Commerce,Enterprising,60,91,E,Business Management & Strategy,Entrepreneur,Operations Manager,Business Manager
B,S,B,Arts,Enterprising,21,62,S,Education & Social Services,Counselor,NGO Officer,Librarian
A,C,B,Mathematics,Investigative,56,37,I,Data Management & Cyber Security,Cybersecurity Specialist,Data Analyst,Network Security Engineer
C,A,C,Tech,Conventional,90,75,I,IT Support & Training,IT Support Specialist,Helpdesk Technician,Technical Trainer
A,C,C,Tech,Conventional,4,57,R,Digital Media & Creative Technology,UI/UX Designer,Game Developer,Mobile App Developer
S,C,C,Commerce,Conventional,59,76,S,Business Management & Strategy,Entrepreneur,Operations Manager,HR Manager
C,C,A,Tech,Investigative,94,99,R,IT Support & Training,IT Support Specialist,Helpdesk Technician,Network Administrator
B,C,B,Biological Science,Social,56,33,I,Biomedical & Laboratory Research,Biomedical Scientist,Microbiologist,Geneticist
A,B,S,Biological Science,Social,60,90,S,Biomedical & Laboratory Research,Immunologist,Biomedical Scientist,Pharmacologist
A,A,A,Biological Science,Social,14,35,I,Environmental & Field Science,Wildlife Biologist,Environmental Scientist,Conservation Officer
A,B,C,Biological Science,Investigative,13,100,S,Environmental & Field Science,Environmental Scientist,Ecologist,Conservation Officer
C,B,C,Arts,Enterprising,95,5,A,Media & Communication,Social Media Manager,Journalist,Broadcaster
C,A,C,Tech,Conventional,0,82,I,Digital Media & Creative Technology,Multimedia Artist,UI/UX Designer,Game Developer
A,A,A,Biological Science,Social,6,87,S,Environmental & Field Science,Marine Biologist,Conservation Officer,Ecologist
C,C,A,Biological Science,Investigative,7,80,I,Environmental & Field Science,Wildlife Biologist,Environmental Scientist,Marine Biologist
B,B,S,Tech,Realistic,77,95,R,IT Support & Training,Helpdesk Technician,Network Administrator,System Operator
C,A,A,Mathematics,Realistic,86,90,R,Software & Systems,AI/ML Engineer,Systems Analyst,Database Administrator
B,A,A,Tech,Investigative,13,72,I,Digital Media & Creative Technology,UI/UX Designer,Game Developer,AR/VR Developer
B,C,C,Commerce,Conventional,87,66,S,Accounting & Finance,Auditor,Tax Consultant,Investment Banker
B,B,C,Mathematics,Conventional,35,57,R,Engineering & Technical Operations,Electrical Engineer,Industrial Engineer,Mechanical Engineer
C,C,A,Mathematics,Realistic,18,27,I,Engineering & Technical Operations,Robotics Engineer,Industrial Engineer,Electrical Engineer
B,B,S,Arts,Enterprising,91,73,S,Media & Communication,Journalist,Public Relations Officer,Content Writer
C,A,C,Biological Science,Social,20,32,S,Environmental & Field Science,Environmental Scientist,Wildlife Biologist,Conservation Officer
B,A,C,Biological Science,Social,58,27,I,Biomedical & Laboratory Research,Microbiologist,Geneticist,Pharmacologist
S,B,B,Arts,Social,74,72,A,Media & Communication,Content Writer,Broadcaster,Public Relations Officer
B,B,A,Tech,Investigative,85,0,R,IT Support & Training,Technical Trainer,System Operator,IT Support Specialist
A,A,B,Mathematics,Conventional,84,84,I,Software & Systems,AI/ML Engineer,Database Administrator,Web Developer
B,B,A,Commerce,Conventional,17,59,E,Marketing & Sales,Digital Marketer,Marketing Executive,Brand Manager
B,C,B,Tech,Investigative,71,73,I,IT Support & Training,IT Support Specialist,Technical Trainer,Helpdesk Technician
B,A,A,Mathematics,Conventional,85,26,R,Software & Systems,Database Administrator,AI/ML Engineer,Software Developer
C,B,S,Tech,Conventional,55,60,R,Technology Business & Startups,Tech Consultant,Startup Founder,Innovation Manager
S,S,C,Commerce,Social,3,7,E,Marketing & Sales,Marketing Executive,Digital Marketer,Brand Manager
S,B,A,Commerce,Enterprising,48,72,E,Business Management & Strategy,HR Manager,Operations Manager,Business Manager
B,S,A,Commerce,Enterprising,7,51,S,Marketing & Sales,Marketing Executive,Brand Manager,Digital Marketer
B,B,S,Mathematics,Investigative,22,13,I,Engineering & Technical Operations,Electrical Engineer,Industrial Engineer,Robotics Engineer
B,A,B,Tech,Conventional,72,84,R,IT Support & Training,System Operator,Network Administrator,Technical Trainer
S,C,C,Commerce,Social,42,79,E,Business Management & Strategy,Entrepreneur,Business Manager,Project Manager
S,S,C,Arts,Enterprising,62,20,A,Creative & Performing Arts,Actor,Graphic Designer,Animator
B,C,B,Tech,Investigative,100,8,R,IT Support & Training,IT Support Specialist,Technical Trainer,Network Administrator
A,A,B,Mathematics,Conventional,26,32,R,Engineering & Technical Operations,Robotics Engineer,Industrial Engineer,Electrical Engineer
B,C,B,Commerce,Social,80,27,S,Accounting & Finance,Auditor,Tax Consultant,Accountant
C,A,B,Mathematics,Investigative,4,71,R,Engineering & Technical Operations,Mechanical Engineer,Robotics Engineer,Electrical Engineer
B,A,C,Mathematics,Realistic,8,68,I,Engineering & Technical Operations,Mechanical Engineer,Civil Engineer,Electrical Engineer
B,A,A,Tech,Realistic,61,84,I,Technology Business & Startups,Product Manager,Startup Founder,Tech Consultant
B,C,C,Commerce,Social,14,78,E,Marketing & Sales,Digital Marketer,Market Research Analyst,Marketing Executive
C,A,B,Mathematics,Investigative,43,23,R,Data Management & Cyber Security,Network Security Engineer,Cybersecurity Specialist,BI Analyst
S,B,A,Commerce,Enterprising,33,35,S,Marketing & Sales,Brand Manager,Sales Manager,Marketing Executive
A,A,B,Tech,Realistic,99,88,R,IT Support & Training,IT Support Specialist,Network Administrator,System Operator
C,B,B,Arts,Enterprising,4,89,A,Education & Social Services,Teacher,NGO Officer,Librarian
B,C,C,Arts,Enterprising,15,94,S,Education & Social Services,Counselor,NGO Officer,Librarian
B,A,B,Biological Science,Investigative,84,99,S,Clinical & Healthcare Services,Physician,Nurse,Physiotherapist
B,C,S,Commerce,Enterprising,38,9,S,Marketing & Sales,Market Research Analyst,Sales Manager,Digital Marketer
A,A,S,Mathematics,Conventional,4,11,I,Engineering & Technical Operations,Robotics Engineer,Electrical Engineer,Civil Engineer
A,B,A,Biological Science,Social,22,33,I,Environmental & Field Science,Marine Biologist,Conservation Officer,Ecologist
A,A,B,Mathematics,Realistic,5,22,I,Engineering & Technical Operations,Mechanical Engineer,Civil Engineer,Electrical Engineer
A,B,B,Mathematics,Investigative,73,45,I,Software & Systems,Database Administrator,AI/ML Engineer,Systems Analyst
A,B,A,Biological Science,Social,24,40,I,Environmental & Field Science,Ecologist,Conservation Officer,Environmental Scientist
B,C,B,Arts,Enterprising,13,57,S,Education & Social Services,NGO Officer,Counselor,Teacher
C,C,S,Arts,Artistic,95,15,A,Media & Communication,Broadcaster,Social Media Manager,Public Relations Officer
C,A,C,Biological Science,Social,68,35,S,Biomedical & Laboratory Research,Microbiologist,Pharmacologist,Biomedical Scientist
B,S,C,Commerce,Social,29,41,E,Marketing & Sales,Market Research Analyst,Sales Manager,Brand Manager
C,C,S,Arts,Enterprising,51,76,S,Creative & Performing Arts,Graphic Designer,Fashion Designer,Actor
S,B,B,Arts,Enterprising,82,48,S,Media & Communication,Public Relations Officer,Content Writer,Journalist
A,C,S,Tech,Conventional,2,42,I,Digital Media & Creative Technology,Game Developer,Multimedia Artist,UI/UX Designer
B,S,S,Commerce,Social,8,9,E,Marketing & Sales,Market Research Analyst,Sales Manager,Marketing Executive
B,A,S,Mathematics,Investigative,61,77,I,Data Management & Cyber Security,Cybersecurity Specialist,Data Analyst,Network Security Engineer
B,B,A,Biological Science,Investigative,99,4,S,Clinical & Healthcare Services,Physician,Nurse,Occupational Therapist
S,C,B,Arts,Social,4,83,S,Education & Social Services,NGO Officer,Teacher,Counselor
S,C,B,Arts,Artistic,8,92,A,Education & Social Services,Teacher,Librarian,NGO Officer
C,C,B,Arts,Social,93,93,S,Media & Communication,Content Writer,Public Relations Officer,Broadcaster
A,C,A,Biological Science,Investigative,47,38,S,Biomedical & Laboratory Research,Biomedical Scientist,Geneticist,Immunologist
A,C,B,Biological Science,Social,29,1,S,Environmental & Field Science,Conservation Officer,Environmental Scientist,Wildlife Biologist
B,C,B,Mathematics,Conventional,21,24,I,Engineering & Technical Operations,Mechanical Engineer,Electrical Engineer,Industrial Engineer
B,B,S,Mathematics,Realistic,23,7,R,Engineering & Technical Operations,Robotics Engineer,Mechanical Engineer,Electrical Engineer
B,B,A,Arts,Artistic,11,61,A,Education & Social Services,Teacher,NGO Officer,Social Worker
S,B,B,Arts,Social,51,91,A,Creative & Performing Arts,Actor,Fashion Designer,Musician
C,B,A,Tech,Investigative,44,97,R,Technology Business & Startups,Innovation Manager,Tech Consultant,Startup Founder
C,S,C,Arts,Artistic,16,35,A,Education & Social Services,Librarian,Counselor,Social Worker
S,S,C,Arts,Social,95,33,A,Media & Communication,Public Relations Officer,Content Writer,Social Media Manager
S,S,A,Commerce,Social,14,94,E,Marketing & Sales,Marketing Executive,Sales Manager,Brand Manager
A,C,C,Biological Science,Social,99,6,I,Clinical & Healthcare Services,Clinical Psychologist,Physician,Physiotherapist
S,S,B,Arts,Artistic,63,7,A,Creative & Performing Arts,Graphic Designer,Actor,Fashion Designer
B,C,C,Arts,Social,31,21,A,Education & Social Services,Social Worker,Librarian,Teacher
B,B,S,Arts,Artistic,78,93,A,Media & Communication,Broadcaster,Public Relations Officer,Journalist
C,A,S,Biological Science,Investigative,53,3,I,Biomedical & Laboratory Research,Microbiologist,Immunologist,Geneticist
B,A,B,Mathematics,Realistic,88,11,I,Software & Systems,Web Developer,AI/ML Engineer,Systems Analyst
C,S,C,Commerce,Enterprising,1,64,S,Marketing & Sales,Brand Manager,Sales Manager,Marketing Executive
C,B,A,Arts,Artistic,69,41,A,Creative & Performing Arts,Graphic Designer,Fashion Designer,Animator
C,A,A,Biological Science,Social,23,58,I,Environmental & Field Science,Wildlife Biologist,Environmental Scientist,Marine Biologist
C,B,B,Tech,Investigative,91,17,I,IT Support & Training,Helpdesk Technician,Network Administrator,Technical Trainer
C,B,A,Biological Science,Investigative,68,56,S,Biomedical & Laboratory Research,Pharmacologist,Geneticist,Biomedical Scientist
C,C,S,Tech,Conventional,26,99,I,Digital Media & Creative Technology,Game Developer,Mobile App Developer,UI/UX Designer
C,C,B,Arts,Artistic,58,34,S,Creative & Performing Arts,Actor,Graphic Designer,Musician
C,A,S,Biological Science,Social,8,89,I,Environmental & Field Science,Conservation Officer,Environmental Scientist,Ecologist
S,C,C,Arts,Enterprising,8,38,S,Education & Social Services,Teacher,Librarian,NGO Officer
B,C,C,Commerce,Enterprising,92,73,S,Accounting & Finance,Financial Analyst,Auditor,Tax Consultant
B,S,C,Commerce,Enterprising,71,7,E,Accounting & Finance,Auditor,Tax Consultant,Financial Analyst
B,B,A,Commerce,Social,77,56,E,Accounting & Finance,Investment Banker,Financial Analyst,Tax Consultant
