career,ol_required,al_stream,degree_or_required,certifications,skills
Civil Engineer,Pass the O/L Exam,Pass A/L with Mathematics stream (Combined Mathematics, Physics, Chemistry)",Bachelor�s Degree in Civil Engineering (BSc Eng) from a recognized university,"Chartered Engineer (CEng) / IESL Membership, Project Management Professional (PMP) (optional), AutoCAD Certification","Structural Design, Construction Management, AutoCAD / CAD Software, Surveying, Project Planning, Problem Solving, Analytical Skills, Mathematics & Physics Knowledge, Communication Skills, Teamwork"
Electrical Engineer,Pass the O/L Exam,Pass A/L with Mathematics stream (Combined Mathematics, Physics, Chemistry)",Bachelor�s Degree in Electrical Engineering / Electronic & Electrical Engineering,"Chartered Engineer (CEng), IET Membership, PLC Programming Certification, AutoCAD Electrical, PMP (optional)","Circuit Design, Power Systems, Electronics, Control Systems, PLC Programming, MATLAB, Problem Solving, Electrical Machines, Communication Skills, Analytical Thinking"
Mechanical Engineer,Pass the O/L Exam,Pass A/L with Mathematics stream (Combined Mathematics, Physics, Chemistry)",Bachelor�s Degree in Mechanical Engineering ," Chartered Engineer (CEng), SolidWorks Certification, AutoCAD, Six Sigma (optional), PMP (optional)","Thermodynamics, Mechanics, Machine Design, CAD (SolidWorks/AutoCAD), Manufacturing Processes, Material Science, Problem Solving, Analytical Thinking, Project Management"
Industrial Engineer,Pass the O/L Exam,Pass A/L with Mathematics or Technology stream,Bachelor�s Degree in Industrial Engineering / Manufacturing Engineering / Operations Engineering,"Six Sigma Green Belt / Black Belt, Lean Manufacturing Certification, PMP (optional)","Process Optimization, Operations Management, Lean Manufacturing, Supply Chain Management, Quality Control, Data Analysis, Statistics, Problem Solving, Time Study, ERP Systems"
Robotics Engineer,Pass the O/L Exam,Pass A/L with Mathematics / Technology stream (Physics strongly preferred),Bachelor�s Degree in Robotics Engineering / Mechatronics Engineering / Computer Engineering,"ROS (Robot Operating System) Certification, PLC Programming, AI/ML Certifications (Google/Microsoft), Embedded Systems Certification","Robotics Programming, Embedded Systems, AI & Machine Learning, Control Systems, Sensors & Actuators, Python/C++, ROS, Automation, Electronics, Problem Solving, System Design"
Physician,Pass the O/L Exam,"Biology stream (Chemistry, Biology, Physics)","MBBS (Bachelor of Medicine, Bachelor of Surgery) + Internship + Medical Council Registration","Medical Licensing Exam, Board Certification (specialty), BLS/ACLS","Clinical Diagnosis, Patient Care, Medical Knowledge, Emergency Response, Communication, Decision Making"
Nurse,Pass the O/L Exam,Biology stream preferred,BSc Nursing / Diploma in Nursing + Nursing Council Registration,"Registered Nurse License, BLS, Infection Control Certification","Patient Care, Wound Care, Medication Administration, Communication, Empathy, Monitoring Vital Signs"
Physiotherapist,Pass the O/L Exam,Biology / Science stream,BSc in Physiotherapy,Physiotherapy Council Registration,"Rehabilitation Therapy, Exercise Prescription, Anatomy Knowledge, Patient Assessment, Manual Therapy"
Occupational Therapist,Pass the O/L Exam,Biology / Science stream preferred,BSc in Occupational Therapy,Occupational Therapy Registration,"Patient Rehabilitation, Assistive Device Use, Motor Skill Development, Communication, Therapy Planning"
Clinical Psychologist,Pass the O/L Exam,Any stream (Biology/Social Science preferred),BSc Psychology + MSc Clinical Psychology,"Clinical Psychology License, Counseling Certification","Counseling, Psychological Assessment, Therapy Techniques, Communication, Empathy, Mental Health Evaluation"
Biomedical Scientist,Pass the O/L Exam,Biology / Science stream,BSc in Biomedical Science,"Laboratory Certification, ISO Lab Training","Laboratory Testing, Microbiology, Data Analysis, Instrument Handling, Quality Control"
Geneticist,Pass the O/L Exam,Biology stream (Chemistry + Biology required),BSc in Genetics / Molecular Biology + MSc/PhD recommended,"Genetic Counseling Certification (optional), Research Certification","DNA Analysis, Molecular Biology, Research Skills, Bioinformatics, Laboratory Techniques"
Microbiologist,Pass the O/L Exam,Biology stream,BSc in Microbiology,"Laboratory Safety Certification, ISO Standards Training","Microbial Analysis, Lab Testing, Research, Sterilization Techniques, Data Interpretation"
Pharmacologist,Pass the O/L Exam,Biology + Chemistry stream,BSc in Pharmacy / Pharmacology + MSc recommended,"Pharmacy Council Registration, Drug Safety Certification","Drug Research, Pharmacology Knowledge, Clinical Trials, Analytical Skills, Laboratory Testing"
Immunologist,Pass the O/L Exam,Biology stream (Chemistry + Biology required),BSc in Immunology / Microbiology / Biomedical Science + MSc/PhD recommended,"Clinical Immunology Certification, Laboratory Safety Certification","Immune System Analysis, Laboratory Research, Biomedical Testing, Data Analysis, Molecular Biology"
Environmental Scientist,Pass the O/L Exam,Science / Geography / Biology stream,BSc in Environmental Science / Environmental Management,"Environmental Protection Certification, ISO 14001 Certification","Environmental Monitoring, Data Analysis, Field Research, Sustainability Planning, Report Writing"
Wildlife Biologist,Pass the O/L Exam,Biology stream,BSc in Zoology / Wildlife Biology / Environmental Science,"Wildlife Conservation Certification, Field Research Training","Animal Behavior Study, Field Observation, Data Collection, Ecosystem Analysis, Conservation Methods"
Marine Biologist,Pass the O/L Exam,Biology stream,BSc in Marine Biology / Oceanography,"Marine Conservation Certification, Diving Certification (optional)","Marine Ecosystem Study, Water Sampling, Marine Species Identification, Research Skills, Field Work"
Ecologist,Pass the O/L Exam,Biology / Science stream,BSc in Ecology / Environmental Science,Environmental Impact Assessment Certification,"Ecosystem Analysis, Field Research, Data Interpretation, Biodiversity Study, Scientific Reporting"
Conservation Officer,Pass the O/L Exam,Science / Geography / Biology stream,Diploma / Degree in Environmental Science / Conservation Management,"Wildlife Protection Certification, Law Enforcement Training","Wildlife Protection, Field Patrol, Environmental Law, Communication, Risk Assessment"
Accountant,Pass the O/L Exam,Commerce stream (Accounting + Business Studies),BSc in Accounting / Finance or CA / ACCA pathway,"CA (Chartered Accountant), ACCA, CIMA","Financial Reporting, Bookkeeping, Taxation, Excel, Analytical Thinking, Budgeting"
Auditor,Pass the O/L Exam,Commerce stream (Accounting preferred),BSc in Accounting / Finance or CA / ACCA,"Certified Internal Auditor (CIA), ACCA, CA","Financial Auditing, Risk Analysis, Compliance Checking, Attention to Detail, Report Writing"
Tax Consultant,Pass the O/L Exam,Commerce stream (Accounting preferred),Degree in Accounting / Finance or Taxation Diploma,"Chartered Tax Advisor, CPA, ACCA Tax Modules","Tax Planning, Financial Analysis, Law Knowledge, Client Advisory, Accounting Systems"
Financial Analyst,Pass the O/L Exam,Commerce / Maths stream,BSc in Finance / Economics / Accounting,"CFA (Chartered Financial Analyst), Financial Modeling Certification","Data Analysis, Financial Modeling, Excel, Investment Analysis, Risk Assessment, Market Research"
Investment Banker,Pass the O/L Exam,Commerce / Maths stream,BSc in Finance / Economics / Accounting / Business Administration (Top universities preferred),"CFA (Chartered Financial Analyst), Investment Banking Certification, FRM","Financial Analysis, Valuation, Excel Modeling, Risk Assessment, Negotiation, Market Research"
Business Manager,Pass the O/L Exam,Any stream (Commerce preferred),BSc in Business Administration / Management,"PMP (Project Management Professional), Business Management Certification","Leadership, Strategic Planning, Decision Making, Communication, Problem Solving, Team Management"
Operations Manager,Pass the O/L Exam,Commerce / Maths / Technology,Degree in Business / Operations Management / Industrial Engineering,"Six Sigma, Lean Management Certification","Process Management, Logistics, Planning, Efficiency Optimization, Leadership, Data Analysis"
HR Manager,Pass the O/L Exam,Any stream (Commerce preferred),BSc in Human Resource Management / Business Administration,"CIPM (Chartered Institute of Personnel Management), SHRM Certification","Recruitment, Employee Relations, Communication, Conflict Resolution, HR Planning"
Project Manager,Pass the O/L Exam,Any stream,Degree in Management / IT / Engineering,"PMP, PRINCE2, Agile Scrum Certification","Project Planning, Team Leadership, Risk Management, Budgeting, Communication, Agile"
Entrepreneur,Pass the O/L Exam,Any stream,No strict degree required (Business/Management degree preferred),"Startup Certification, Digital Marketing, Financial Literacy Courses","Innovation, Risk Taking, Business Planning, Leadership, Financial Management, Marketing"
Marketing Executive,Pass the O/L Exam,Commerce / Arts / Business,Degree in Marketing / Business Administration,"Digital Marketing Certification (Google, Meta), HubSpot Certification","Marketing Strategy, Communication, Sales, Customer Analysis, Creativity, Branding"
Brand Manager,Pass the O/L Exam,Commerce / Arts stream,BSc in Marketing / Business Management,"Brand Management Certification, Digital Marketing Cert","Branding Strategy, Market Research, Communication, Creativity, Consumer Behavior Analysis"
Digital Marketer,Pass the O/L Exam,Any stream,Diploma / Degree in Marketing / IT / Digital Media,"Google Ads, Meta Ads, SEO Certification, HubSpot","SEO, Social Media Marketing, Content Strategy, Analytics, Advertising, Copywriting"
Sales Manager,Pass the O/L Exam,Any stream,Degree in Business / Marketing,"Sales Management Certification, CRM Tools Training","Negotiation, Communication, Customer Relationship Management, Target Achievement, Leadership"
Market Research Analyst,Pass the O/L Exam,Commerce / Maths / Science,Degree in Marketing / Economics / Statistics,"Data Analytics Certification, SPSS / Excel Certification","Data Analysis, Research Methods, Statistics, Report Writing, Critical Thinking"
Journalist,Pass the O/L Exam,Arts stream preferred,Degree in Journalism / Mass Communication,"Media Ethics Certification, Journalism Training","Writing, Communication, Investigation, News Reporting, Interviewing, Critical Thinking"
Public Relations Officer,Pass the O/L Exam,Any stream,Degree in Public Relations / Media / Communication,"PR Certification, Media Training","Communication, Crisis Management, Writing, Public Speaking, Media Relations"
Content Writer,Pass the O/L Exam,Any stream,Diploma / Degree in English / Media / Communication,"SEO Writing Certification, Copywriting Course","Writing Skills, Creativity, Grammar, Research, SEO, Storytelling"
Social Media Manager,Pass the O/L Exam,Any stream,Diploma / Degree in Marketing / Media / IT,"Meta Blueprint Certification, Digital Marketing Cert","Social Media Strategy, Content Creation, Analytics, Branding, Communication, Creativity"
Broadcaster,Pass the O/L Exam,Arts / Commerce / Any stream,Degree in Mass Communication / Journalism / Media Studies,"Media Training Certification, Voice Training","Public Speaking, Communication, Presentation Skills, Voice Modulation, Confidence, Interviewing"
Graphic Designer,Pass the O/L Exam,Any stream,Diploma / Degree in Graphic Design / Multimedia,"Adobe Certified Professional (Photoshop, Illustrator), UI/UX Certification","Creativity, Adobe Photoshop, Illustrator, Color Theory, Typography, Visual Design"
Animator,Pass the O/L Exam,Arts / IT preferred,Degree in Animation / Multimedia / Computer Graphics,"Autodesk Maya Certification, Blender Certification","2D/3D Animation, Storyboarding, Modeling, Creativity, Rendering, Visual Effects"
Musician,Pass the O/L Exam,No strict stream (Music background preferred),Diploma / Degree in Music / Performing Arts,"Music Theory Certification, Instrument Proficiency Exams","Instrument Skills, Rhythm, Creativity, Performance, Composition, Audio Skills"
Actor/Actress,Pass the O/L Exam,Arts stream preferred,Diploma / Degree in Performing Arts / Drama,"Acting Workshops, Voice & Drama Certification","Acting Skills, Expression, Memorization, Voice Control, Confidence, Emotional Intelligence"
Fashion Designer,Pass the O/L Exam,Arts / Design stream preferred,Degree in Fashion Design / Textile Design,"Fashion Design Certification, CAD Fashion Tools","Creativity, Sketching, Sewing, Fabric Knowledge, Trend Analysis, Design Software"
Teacher,Pass the O/L Exam,Any stream (subject-based),BEd (Bachelor of Education) or Degree in subject + Teaching Diploma,"Teacher Registration, ICT in Education Certification","Communication, Classroom Management, Subject Knowledge, Patience, Lesson Planning"
Counselor,Pass the O/L Exam,Arts / Science,Degree in Psychology / Counseling / Social Science,"Counseling Certification, Mental Health Training","Listening Skills, Empathy, Communication, Problem Solving, Psychological Understanding"
Social Worker,Pass the O/L Exam,Any stream,Degree in Social Work / Sociology,"Social Work Certification, Community Development Training","Communication, Empathy, Crisis Handling, Community Service, Problem Solving"
Librarian,Pass the O/L Exam,Any stream,Degree in Library Science / Information Management,"Library Science Certification, Digital Archiving Training","Organization, Information Management, Digital Systems, Communication, Cataloging Skills"
NGO Officer,Pass the O/L Exam,Arts / Commerce / Any stream,Degree in Social Science / Development Studies / Management,"Project Management Certification, Community Development Training","Communication, Project Coordination, Field Work, Reporting, Leadership, Social Awareness"
IT Support Specialist,Pass the O/L Exam,Maths / IT preferred,Diploma / Degree in IT / Computer Science,"CompTIA A+, Microsoft Certified Support Technician","Troubleshooting, Hardware/Software Support, Networking Basics, Customer Support"
Network Administrator,Pass the O/L Exam,Maths / IT stream,BSc in Networking / Computer Science / IT,"CCNA (Cisco Certified Network Associate), CompTIA Network+","Networking, Server Management, Troubleshooting, Security, Routing & Switching"
Technical Trainer,Pass the O/L Exam,Any stream (IT preferred),Degree in IT / Education / Training,"Trainer Certification, Microsoft Certified Trainer (MCT)","Communication, Teaching, Technical Knowledge, Presentation Skills, Training Delivery"
Helpdesk Technician,Pass the O/L Exam,IT / Maths stream,Diploma in IT / Computer Science,"ITIL Foundation, CompTIA A+","Customer Support, Troubleshooting, Communication, System Support, Ticketing Systems"
System Operator,Pass the O/L Exam,IT / Maths stream,Diploma / Degree in IT / Computer Systems,System Administration Certification,"System Monitoring, Server Management, Basic Networking, Troubleshooting"
Product Manager,Pass the O/L Exam,Any stream,BSc in Business / IT / Management,"PMP, Agile Scrum Product Owner Certification","Product Strategy, Communication, Market Analysis, Leadership, UX Understanding"
Startup Founder,Pass the O/L Exam,Any stream,No strict requirement (Business/IT degree helpful),"Entrepreneurship Certification, Business Management Courses","Innovation, Leadership, Risk Taking, Business Planning, Problem Solving, Creativity"
Tech Consultant,Pass the O/L Exam,IT / Maths stream,BSc in IT / Computer Science / Software Engineering,"ITIL, Cloud Certifications (AWS, Azure), Consulting Certification","Problem Solving, System Analysis, Communication, IT Strategy, Client Management"
Business Analyst (Tech),Pass the O/L Exam,Commerce / IT / Maths,BSc in Information Systems / Business Analytics / IT,"CBAP, CCBA, Agile Business Analysis Certification","Requirements Analysis, UML, Documentation, Communication, SDLC, Problem Solving"
Innovation Manager,Pass the O/L Exam,Any stream,Degree in Business / Technology / Innovation Management,"Innovation Management Certification, Design Thinking Certification","Creativity, Strategic Thinking, Leadership, Problem Solving, Product Innovation"
UI/UX Designer,Pass the O/L Exam,Any stream,Diploma / Degree in UI/UX / Graphic Design / Multimedia,"Google UX Design Certificate, Adobe XD / Figma Certification","UI Design, UX Research, Wireframing, Figma, Creativity, User Psychology"
Game Developer,Pass the O/L Exam,Maths / IT stream,BSc in Game Development / Computer Science,"Unity Certification, Unreal Engine Certification","Programming (C#, C++), Game Design, 3D Modeling, Problem Solving, Physics Logic"
AR/VR Developer,Pass the O/L Exam,Maths / IT stream,BSc in Computer Science / AR/VR / Game Development,"Unity AR/VR Certification, Unreal Engine VR Training","3D Development, Unity, C#, Computer Graphics, Problem Solving, UI/UX Basics"
Multimedia Artist,Pass the O/L Exam,Arts / Design stream,Diploma / Degree in Multimedia / Graphic Design,"Adobe Certified Expert (Photoshop, After Effects)","Creativity, Animation, Video Editing, Graphic Design, Storyboarding, Visual Effects"
Mobile App Developer,Pass the O/L Exam,Maths / IT stream,BSc in Software Engineering / IT / Computer Science,"Flutter Certification, Android Developer Certification, Firebase Training","Flutter, Dart, UI Design, APIs, Debugging, Problem Solving, Firebase"
